Time(s) ,Extension(mm),Load(kN),Flexural stress(MPa),Flexural strain(%)
,,,,
0,0,0,0,0
0.1,0,0,-0.02,0
0.2,0,0,-0.01,0
0.3,0,0,0,0
0.4,0.01,0,0.07,0
0.5,0.01,0,0.04,0
0.6,0.01,0,0.1,0
0.7,0.01,0,0.12,0.01
0.8,0.01,0,0.18,0.01
0.9,0.01,0,0.2,0.01
1,0.02,0,0.22,0.01
1.1,0.02,0,0.25,0.01
1.2,0.02,0,0.3,0.01
1.3,0.02,0,0.32,0.01
1.4,0.02,0,0.34,0.01
1.5,0.02,0,0.28,0.01
1.6,0.03,0,0.35,0.01
1.7,0.03,0,0.43,0.02
1.8,0.03,0,0.39,0.02
1.9,0.03,0,0.44,0.02
2,0.03,0,0.44,0.02
2.1,0.03,0,0.51,0.02
2.2,0.04,0,0.49,0.02
2.3,0.04,0,0.54,0.02
2.4,0.04,0,0.53,0.02
2.5,0.04,0,0.52,0.02
2.6,0.04,0,0.58,0.02
2.7,0.04,0,0.55,0.03
2.8,0.05,0,0.64,0.03
2.9,0.05,0,0.66,0.03
3,0.05,0,0.65,0.03
3.1,0.05,0,0.66,0.03
3.2,0.05,0,0.65,0.03
3.3,0.05,0,0.69,0.03
3.4,0.06,0,0.69,0.03
3.5,0.06,0,0.69,0.03
3.6,0.06,0,0.75,0.03
3.7,0.06,0,0.79,0.04
3.8,0.06,0,0.81,0.04
3.9,0.06,0,0.82,0.04
4,0.07,0,0.83,0.04
4.1,0.07,0,0.83,0.04
4.2,0.07,0,0.88,0.04
4.3,0.07,0,0.87,0.04
4.4,0.07,0,0.88,0.04
4.5,0.07,0,0.96,0.04
4.6,0.08,0,0.97,0.04
4.7,0.08,0,0.89,0.04
4.8,0.08,0,0.94,0.05
4.9,0.08,0,0.98,0.05
5,0.08,0,1.03,0.05
5.1,0.08,0,1.07,0.05
5.2,0.09,0,1.01,0.05
5.3,0.09,0,1.06,0.05
5.4,0.09,0,1.04,0.05
5.5,0.09,0,1.11,0.05
5.6,0.09,0,1.04,0.05
5.7,0.09,0,1.06,0.05
5.8,0.1,0,1.14,0.06
5.9,0.1,0,1.13,0.06
6,0.1,0,1.15,0.06
6.1,0.1,0,1.15,0.06
6.2,0.1,0,1.18,0.06
6.3,0.1,0,1.17,0.06
6.4,0.11,0,1.23,0.06
6.5,0.11,0,1.25,0.06
6.6,0.11,0,1.2,0.06
6.7,0.11,0,1.22,0.06
6.8,0.11,0,1.26,0.07
6.9,0.11,0,1.27,0.07
7,0.12,0,1.34,0.07
7.1,0.12,0,1.32,0.07
7.2,0.12,0,1.4,0.07
7.3,0.12,0,1.4,0.07
7.4,0.12,0,1.37,0.07
7.5,0.12,0,1.42,0.07
7.6,0.13,0,1.36,0.07
7.7,0.13,0,1.43,0.07
7.8,0.13,0,1.45,0.07
7.9,0.13,0,1.44,0.08
8,0.13,0,1.46,0.08
8.1,0.13,0,1.48,0.08
8.2,0.14,0,1.51,0.08
8.3,0.14,0,1.52,0.08
8.4,0.14,0,1.5,0.08
8.5,0.14,0,1.52,0.08
8.6,0.14,0,1.54,0.08
8.7,0.14,0,1.59,0.08
8.8,0.15,0,1.62,0.08
8.9,0.15,0,1.64,0.09
9,0.15,0,1.65,0.09
9.1,0.15,0,1.6,0.09
9.2,0.15,0,1.67,0.09
9.3,0.15,0,1.69,0.09
9.4,0.16,0,1.72,0.09
9.5,0.16,0,1.76,0.09
9.6,0.16,0,1.72,0.09
9.7,0.16,0,1.78,0.09
9.8,0.16,0,1.78,0.09
9.9,0.16,0,1.78,0.1
10,0.17,0,1.8,0.1
10.1,0.17,0,1.78,0.1
10.2,0.17,0,1.78,0.1
10.3,0.17,0,1.83,0.1
10.4,0.17,0,1.85,0.1
10.5,0.17,0,1.92,0.1
10.6,0.18,0,1.89,0.1
10.7,0.18,0,1.87,0.1
10.8,0.18,0,1.95,0.1
10.9,0.18,0,1.95,0.11
11,0.18,0,1.9,0.11
11.1,0.18,0,2.01,0.11
11.2,0.19,0,1.98,0.11
11.3,0.19,0,1.99,0.11
11.4,0.19,0,2.02,0.11
11.5,0.19,0,2.02,0.11
11.6,0.19,0,2.02,0.11
11.7,0.19,0,2.01,0.11
11.8,0.2,0,2.06,0.11
11.9,0.2,0,2.09,0.11
12,0.2,0,2.15,0.12
12.1,0.2,0,2.19,0.12
12.2,0.2,0,2.11,0.12
12.3,0.2,0,2.14,0.12
12.4,0.21,0,2.15,0.12
12.5,0.21,0,2.23,0.12
12.6,0.21,0,2.22,0.12
12.7,0.21,0,2.22,0.12
12.8,0.21,0,2.22,0.12
12.9,0.21,0,2.24,0.12
13,0.22,0,2.28,0.13
13.1,0.22,0,2.22,0.13
13.2,0.22,0,2.32,0.13
13.3,0.22,0,2.31,0.13
13.4,0.22,0,2.32,0.13
13.5,0.22,0,2.35,0.13
13.6,0.23,0,2.38,0.13
13.7,0.23,0,2.35,0.13
13.8,0.23,0,2.37,0.13
13.9,0.23,0,2.36,0.13
14,0.23,0,2.43,0.14
14.1,0.23,0,2.44,0.14
14.2,0.24,0,2.38,0.14
14.3,0.24,0,2.44,0.14
14.4,0.24,0,2.45,0.14
14.5,0.24,0.01,2.52,0.14
14.6,0.24,0.01,2.52,0.14
14.7,0.24,0.01,2.56,0.14
14.8,0.25,0.01,2.58,0.14
14.9,0.25,0.01,2.59,0.14
15,0.25,0.01,2.63,0.15
15.1,0.25,0.01,2.64,0.15
15.2,0.25,0.01,2.62,0.15
15.3,0.25,0.01,2.69,0.15
15.4,0.26,0.01,2.7,0.15
15.5,0.26,0.01,2.71,0.15
15.6,0.26,0.01,2.71,0.15
15.7,0.26,0.01,2.77,0.15
15.8,0.26,0.01,2.79,0.15
15.9,0.26,0.01,2.83,0.15
16,0.27,0.01,2.82,0.15
16.1,0.27,0.01,2.9,0.16
16.2,0.27,0.01,2.87,0.16
16.3,0.27,0.01,2.91,0.16
16.4,0.27,0.01,2.94,0.16
16.5,0.27,0.01,2.9,0.16
16.6,0.28,0.01,2.98,0.16
16.7,0.28,0.01,2.96,0.16
16.8,0.28,0.01,3.06,0.16
16.9,0.28,0.01,3.03,0.16
17,0.28,0.01,3.05,0.16
17.1,0.28,0.01,3.1,0.17
17.2,0.29,0.01,3.19,0.17
17.3,0.29,0.01,3.22,0.17
17.4,0.29,0.01,3.22,0.17
17.5,0.29,0.01,3.22,0.17
17.6,0.29,0.01,3.29,0.17
17.7,0.29,0.01,3.31,0.17
17.8,0.3,0.01,3.38,0.17
17.9,0.3,0.01,3.44,0.17
18,0.3,0.01,3.41,0.17
18.1,0.3,0.01,3.53,0.18
18.2,0.3,0.01,3.51,0.18
18.3,0.3,0.01,3.63,0.18
18.4,0.31,0.01,3.63,0.18
18.5,0.31,0.01,3.66,0.18
18.6,0.31,0.01,3.69,0.18
18.7,0.31,0.01,3.79,0.18
18.8,0.31,0.01,3.78,0.18
18.9,0.31,0.01,3.8,0.18
19,0.32,0.01,3.88,0.18
19.1,0.32,0.01,3.93,0.18
19.2,0.32,0.01,3.96,0.19
19.3,0.32,0.01,4.02,0.19
19.4,0.32,0.01,4.05,0.19
19.5,0.32,0.01,4.09,0.19
19.6,0.33,0.01,4.16,0.19
19.7,0.33,0.01,4.19,0.19
19.8,0.33,0.01,4.14,0.19
19.9,0.33,0.01,4.21,0.19
20,0.33,0.01,4.31,0.19
20.1,0.33,0.01,4.31,0.19
20.2,0.34,0.01,4.35,0.2
20.3,0.34,0.01,4.37,0.2
20.4,0.34,0.01,4.43,0.2
20.5,0.34,0.01,4.48,0.2
20.6,0.34,0.01,4.5,0.2
20.7,0.34,0.01,4.54,0.2
20.8,0.35,0.01,4.64,0.2
20.9,0.35,0.01,4.67,0.2
21,0.35,0.01,4.7,0.2
21.1,0.35,0.01,4.7,0.2
21.2,0.35,0.01,4.77,0.21
21.3,0.35,0.01,4.77,0.21
21.4,0.36,0.01,4.84,0.21
21.5,0.36,0.01,4.86,0.21
21.6,0.36,0.01,4.87,0.21
21.7,0.36,0.01,4.93,0.21
21.8,0.36,0.01,4.87,0.21
21.9,0.36,0.01,4.96,0.21
22,0.37,0.01,5.06,0.21
22.1,0.37,0.01,5.08,0.21
22.2,0.37,0.01,5.09,0.22
22.3,0.37,0.01,5.2,0.22
22.4,0.37,0.01,5.24,0.22
22.5,0.37,0.01,5.22,0.22
22.6,0.38,0.01,5.26,0.22
22.7,0.38,0.01,5.25,0.22
22.8,0.38,0.01,5.29,0.22
22.9,0.38,0.01,5.32,0.22
23,0.38,0.01,5.41,0.22
23.1,0.38,0.01,5.41,0.22
23.2,0.39,0.01,5.46,0.22
23.3,0.39,0.01,5.47,0.23
23.4,0.39,0.01,5.5,0.23
23.5,0.39,0.01,5.56,0.23
23.6,0.39,0.01,5.54,0.23
23.7,0.39,0.01,5.54,0.23
23.8,0.4,0.01,5.64,0.23
23.9,0.4,0.01,5.6,0.23
24,0.4,0.01,5.64,0.23
24.1,0.4,0.01,5.65,0.23
24.2,0.4,0.01,5.65,0.23
24.3,0.4,0.01,5.73,0.24
24.4,0.41,0.01,5.74,0.24
24.5,0.41,0.01,5.75,0.24
24.6,0.41,0.01,5.8,0.24
24.7,0.41,0.01,5.77,0.24
24.8,0.41,0.01,5.82,0.24
24.9,0.41,0.01,5.89,0.24
25,0.42,0.01,5.89,0.24
25.1,0.42,0.01,5.93,0.24
25.2,0.42,0.01,5.92,0.24
25.3,0.42,0.01,5.92,0.25
25.4,0.42,0.01,5.95,0.25
25.5,0.42,0.01,5.98,0.25
25.6,0.43,0.01,5.94,0.25
25.7,0.43,0.01,5.99,0.25
25.8,0.43,0.01,6.1,0.25
25.9,0.43,0.01,6.04,0.25
26,0.43,0.01,6.13,0.25
26.1,0.43,0.01,6.12,0.25
26.2,0.44,0.01,6.1,0.25
26.3,0.44,0.01,6.14,0.25
26.4,0.44,0.01,6.23,0.26
26.5,0.44,0.01,6.23,0.26
26.6,0.44,0.01,6.25,0.26
26.7,0.44,0.01,6.26,0.26
26.8,0.45,0.01,6.31,0.26
26.9,0.45,0.01,6.32,0.26
27,0.45,0.01,6.33,0.26
27.1,0.45,0.01,6.3,0.26
27.2,0.45,0.01,6.38,0.26
27.3,0.45,0.01,6.34,0.26
27.4,0.46,0.01,6.44,0.27
27.5,0.46,0.01,6.5,0.27
27.6,0.46,0.01,6.47,0.27
27.7,0.46,0.01,6.5,0.27
27.8,0.46,0.01,6.56,0.27
27.9,0.46,0.01,6.6,0.27
28,0.47,0.01,6.65,0.27
28.1,0.47,0.01,6.65,0.27
28.2,0.47,0.01,6.7,0.27
28.3,0.47,0.01,6.7,0.27
28.4,0.47,0.01,6.7,0.28
28.5,0.47,0.01,6.77,0.28
28.6,0.48,0.01,6.86,0.28
28.7,0.48,0.01,6.87,0.28
28.8,0.48,0.01,6.86,0.28
28.9,0.48,0.01,6.89,0.28
29,0.48,0.01,6.92,0.28
29.1,0.48,0.01,6.95,0.28
29.2,0.49,0.01,7,0.28
29.3,0.49,0.01,6.99,0.28
29.4,0.49,0.01,7.04,0.29
29.5,0.49,0.01,7.08,0.29
29.6,0.49,0.01,7.05,0.29
29.7,0.49,0.01,7.08,0.29
29.8,0.5,0.01,7.15,0.29
29.9,0.5,0.01,7.1,0.29
30,0.5,0.01,7.17,0.29
30.1,0.5,0.01,7.19,0.29
30.2,0.5,0.01,7.25,0.29
30.3,0.5,0.01,7.19,0.29
30.4,0.51,0.01,7.27,0.29
30.5,0.51,0.01,7.28,0.3
30.6,0.51,0.01,7.34,0.3
30.7,0.51,0.02,7.38,0.3
30.8,0.51,0.02,7.39,0.3
30.9,0.51,0.02,7.36,0.3
31,0.52,0.02,7.42,0.3
31.1,0.52,0.02,7.4,0.3
31.2,0.52,0.02,7.44,0.3
31.3,0.52,0.02,7.48,0.3
31.4,0.52,0.02,7.46,0.3
31.5,0.52,0.02,7.46,0.31
31.6,0.53,0.02,7.49,0.31
31.7,0.53,0.02,7.55,0.31
31.8,0.53,0.02,7.54,0.31
31.9,0.53,0.02,7.52,0.31
32,0.53,0.02,7.58,0.31
32.1,0.53,0.02,7.56,0.31
32.2,0.54,0.02,7.56,0.31
32.3,0.54,0.02,7.64,0.31
32.4,0.54,0.02,7.69,0.31
32.5,0.54,0.02,7.62,0.32
32.6,0.54,0.02,7.63,0.32
32.7,0.54,0.02,7.7,0.32
32.8,0.55,0.02,7.67,0.32
32.9,0.55,0.02,7.76,0.32
33,0.55,0.02,7.68,0.32
33.1,0.55,0.02,7.77,0.32
33.2,0.55,0.02,7.82,0.32
33.3,0.55,0.02,7.76,0.32
33.4,0.56,0.02,7.73,0.32
33.5,0.56,0.02,7.83,0.32
33.6,0.56,0.02,7.92,0.33
33.7,0.56,0.02,7.9,0.33
33.8,0.56,0.02,7.91,0.33
33.9,0.56,0.02,7.93,0.33
34,0.57,0.02,7.99,0.33
34.1,0.57,0.02,8.05,0.33
34.2,0.57,0.02,8.02,0.33
34.3,0.57,0.02,8.05,0.33
34.4,0.57,0.02,8.08,0.33
34.5,0.57,0.02,8.1,0.33
34.6,0.58,0.02,8.19,0.34
34.7,0.58,0.02,8.15,0.34
34.8,0.58,0.02,8.19,0.34
34.9,0.58,0.02,8.18,0.34
35,0.58,0.02,8.22,0.34
35.1,0.58,0.02,8.32,0.34
35.2,0.59,0.02,8.29,0.34
35.3,0.59,0.02,8.33,0.34
35.4,0.59,0.02,8.36,0.34
35.5,0.59,0.02,8.38,0.34
35.6,0.59,0.02,8.44,0.35
35.7,0.59,0.02,8.38,0.35
35.8,0.6,0.02,8.47,0.35
35.9,0.6,0.02,8.48,0.35
36,0.6,0.02,8.53,0.35
36.1,0.6,0.02,8.56,0.35
36.2,0.6,0.02,8.61,0.35
36.3,0.6,0.02,8.59,0.35
36.4,0.61,0.02,8.6,0.35
36.5,0.61,0.02,8.63,0.35
36.6,0.61,0.02,8.68,0.35
36.7,0.61,0.02,8.72,0.36
36.8,0.61,0.02,8.73,0.36
36.9,0.61,0.02,8.72,0.36
37,0.62,0.02,8.78,0.36
37.1,0.62,0.02,8.8,0.36
37.2,0.62,0.02,8.82,0.36
37.3,0.62,0.02,8.9,0.36
37.4,0.62,0.02,8.87,0.36
37.5,0.62,0.02,8.93,0.36
37.6,0.63,0.02,8.94,0.36
37.7,0.63,0.02,8.96,0.37
37.8,0.63,0.02,8.98,0.37
37.9,0.63,0.02,9.04,0.37
38,0.63,0.02,9.07,0.37
38.1,0.63,0.02,9.05,0.37
38.2,0.64,0.02,9.16,0.37
38.3,0.64,0.02,9.11,0.37
38.4,0.64,0.02,9.17,0.37
38.5,0.64,0.02,9.21,0.37
38.6,0.64,0.02,9.22,0.37
38.7,0.64,0.02,9.23,0.38
38.8,0.65,0.02,9.28,0.38
38.9,0.65,0.02,9.31,0.38
39,0.65,0.02,9.37,0.38
39.1,0.65,0.02,9.36,0.38
39.2,0.65,0.02,9.42,0.38
39.3,0.65,0.02,9.42,0.38
39.4,0.66,0.02,9.42,0.38
39.5,0.66,0.02,9.5,0.38
39.6,0.66,0.02,9.56,0.38
39.7,0.66,0.02,9.54,0.39
39.8,0.66,0.02,9.57,0.39
39.9,0.66,0.02,9.62,0.39
40,0.67,0.02,9.75,0.39
40.1,0.67,0.02,9.66,0.39
40.2,0.67,0.02,9.73,0.39
40.3,0.67,0.02,9.81,0.39
40.4,0.67,0.02,9.81,0.39
40.5,0.67,0.02,9.81,0.39
40.6,0.68,0.02,9.84,0.39
40.7,0.68,0.02,9.88,0.39
40.8,0.68,0.02,9.91,0.4
40.9,0.68,0.02,10,0.4
41,0.68,0.02,9.95,0.4
41.1,0.68,0.02,9.95,0.4
41.2,0.69,0.02,10.08,0.4
41.3,0.69,0.02,10.08,0.4
41.4,0.69,0.02,10.09,0.4
41.5,0.69,0.02,10.18,0.4
41.6,0.69,0.02,10.17,0.4
41.7,0.69,0.02,10.22,0.4
41.8,0.7,0.02,10.27,0.41
41.9,0.7,0.02,10.28,0.41
42,0.7,0.02,10.32,0.41
42.1,0.7,0.02,10.36,0.41
42.2,0.7,0.02,10.37,0.41
42.3,0.7,0.02,10.41,0.41
42.4,0.71,0.02,10.45,0.41
42.5,0.71,0.02,10.43,0.41
42.6,0.71,0.02,10.47,0.41
42.7,0.71,0.02,10.57,0.41
42.8,0.71,0.02,10.55,0.42
42.9,0.71,0.02,10.61,0.42
43,0.72,0.02,10.58,0.42
43.1,0.72,0.02,10.61,0.42
43.2,0.72,0.02,10.71,0.42
43.3,0.72,0.02,10.75,0.42
43.4,0.72,0.02,10.76,0.42
43.5,0.72,0.02,10.78,0.42
43.6,0.73,0.02,10.86,0.42
43.7,0.73,0.02,10.84,0.42
43.8,0.73,0.02,10.86,0.42
43.9,0.73,0.02,10.92,0.43
44,0.73,0.02,10.94,0.43
44.1,0.73,0.02,10.99,0.43
44.2,0.74,0.02,11.03,0.43
44.3,0.74,0.02,11.02,0.43
44.4,0.74,0.02,11.1,0.43
44.5,0.74,0.02,11.12,0.43
44.6,0.74,0.02,11.17,0.43
44.7,0.74,0.02,11.14,0.43
44.8,0.75,0.02,11.25,0.43
44.9,0.75,0.02,11.25,0.44
45,0.75,0.02,11.28,0.44
45.1,0.75,0.02,11.3,0.44
45.2,0.75,0.02,11.36,0.44
45.3,0.75,0.02,11.38,0.44
45.4,0.75,0.02,11.4,0.44
45.5,0.76,0.02,11.43,0.44
45.6,0.76,0.02,11.44,0.44
45.7,0.76,0.02,11.46,0.44
45.8,0.76,0.02,11.48,0.44
45.9,0.76,0.02,11.56,0.45
46,0.77,0.02,11.58,0.45
46.1,0.77,0.02,11.6,0.45
46.2,0.77,0.02,11.65,0.45
46.3,0.77,0.02,11.7,0.45
46.4,0.77,0.02,11.69,0.45
46.5,0.77,0.02,11.79,0.45
46.6,0.78,0.02,11.79,0.45
46.7,0.78,0.02,11.83,0.45
46.8,0.78,0.02,11.84,0.45
46.9,0.78,0.02,11.91,0.46
47,0.78,0.02,11.93,0.46
47.1,0.78,0.02,11.93,0.46
47.2,0.79,0.02,11.97,0.46
47.3,0.79,0.02,12.04,0.46
47.4,0.79,0.02,12,0.46
47.5,0.79,0.02,12.1,0.46
47.6,0.79,0.02,12.09,0.46
47.7,0.79,0.02,12.11,0.46
47.8,0.8,0.02,12.15,0.46
47.9,0.8,0.02,12.22,0.46
48,0.8,0.02,12.23,0.47
48.1,0.8,0.03,12.25,0.47
48.2,0.8,0.03,12.29,0.47
48.3,0.8,0.03,12.34,0.47
48.4,0.81,0.03,12.34,0.47
48.5,0.81,0.03,12.39,0.47
48.6,0.81,0.03,12.41,0.47
48.7,0.81,0.03,12.44,0.47
48.8,0.81,0.03,12.52,0.47
48.9,0.81,0.03,12.55,0.47
49,0.82,0.03,12.57,0.48
49.1,0.82,0.03,12.61,0.48
49.2,0.82,0.03,12.62,0.48
49.3,0.82,0.03,12.68,0.48
49.4,0.82,0.03,12.66,0.48
49.5,0.82,0.03,12.69,0.48
49.6,0.83,0.03,12.74,0.48
49.7,0.83,0.03,12.78,0.48
49.8,0.83,0.03,12.85,0.48
49.9,0.83,0.03,12.86,0.48
50,0.83,0.03,12.86,0.49
50.1,0.83,0.03,12.94,0.49
50.2,0.83,0.03,12.93,0.49
50.3,0.84,0.03,12.97,0.49
50.4,0.84,0.03,13.02,0.49
50.5,0.84,0.03,13.07,0.49
50.6,0.84,0.03,13.08,0.49
50.7,0.84,0.03,13.13,0.49
50.8,0.85,0.03,13.13,0.49
50.9,0.85,0.03,13.16,0.49
51,0.85,0.03,13.19,0.49
51.1,0.85,0.03,13.21,0.5
51.2,0.85,0.03,13.26,0.5
51.3,0.85,0.03,13.32,0.5
51.4,0.86,0.03,13.35,0.5
51.5,0.86,0.03,13.34,0.5
51.6,0.86,0.03,13.34,0.5
51.7,0.86,0.03,13.45,0.5
51.8,0.86,0.03,13.47,0.5
51.9,0.86,0.03,13.49,0.5
52,0.87,0.03,13.56,0.5
52.1,0.87,0.03,13.53,0.51
52.2,0.87,0.03,13.54,0.51
52.3,0.87,0.03,13.62,0.51
52.4,0.87,0.03,13.63,0.51
52.5,0.87,0.03,13.7,0.51
52.6,0.88,0.03,13.71,0.51
52.7,0.88,0.03,13.74,0.51
52.8,0.88,0.03,13.82,0.51
52.9,0.88,0.03,13.81,0.51
53,0.88,0.03,13.83,0.51
53.1,0.88,0.03,13.91,0.52
53.2,0.89,0.03,13.93,0.52
53.3,0.89,0.03,13.95,0.52
53.4,0.89,0.03,13.98,0.52
53.5,0.89,0.03,14.05,0.52
53.6,0.89,0.03,14.02,0.52
53.7,0.89,0.03,14.07,0.52
53.8,0.9,0.03,14.05,0.52
53.9,0.9,0.03,14.07,0.52
54,0.9,0.03,14.15,0.52
54.1,0.9,0.03,14.17,0.53
54.2,0.9,0.03,14.22,0.53
54.3,0.9,0.03,14.24,0.53
54.4,0.91,0.03,14.3,0.53
54.5,0.91,0.03,14.29,0.53
54.6,0.91,0.03,14.34,0.53
54.7,0.91,0.03,14.44,0.53
54.8,0.91,0.03,14.4,0.53
54.9,0.91,0.03,14.45,0.53
55,0.92,0.03,14.49,0.53
55.1,0.92,0.03,14.56,0.53
55.2,0.92,0.03,14.56,0.54
55.3,0.92,0.03,14.57,0.54
55.4,0.92,0.03,14.6,0.54
